Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO,Name-additional
119,Armando Rios,2004-02-03,Florida Marlins,CHW,32,-0.3,6,419,1021,135,275,36,167,14,115,.269,.341,.445,.786,,,,,,,,,,,,,riosar01
120,Pascual Matos,2004-02-02,Colorado Rockies,COL,29,,4,,,,,,,,,,,,,,,,,,,,,,,,,matospa01
121,Jesus Sanchez,2004-02-02,Cincinnati Reds,COL,29,-0.1,6,167,138,10,25,0,6,0,3,.181,.199,.196,.394,23,32,5.26,1.603,159,80,0,510.1,546,78,272,376,sanchje01
122,Steve Torrealba,2004-02-01,New York Yankees,STL,26,-0.3,2,,,,,,,,,,,,,,,,,,,,,,,,,torrest01
123,Jesse Levis,2004-01-30,New York Mets,PHI,36,-0.1,11,,,,,,,,,,,,,,,,,,,,,,,,,levisje01
124,Jose Mesa,2004-01-30,Pittsburgh Pirates,PHI,38,0.4,15,245,0,1,0,0,0,0,1,,1.000,,,70,91,4.32,1.468,762,95,249,1299.2,1364,120,544,896,mesajo01
125,Shane Spencer,2004-01-29,New York Mets,TEX,32,2.6,6,464,1486,187,386,55,216,7,139,.260,.325,.430,.755,,,,,,,,,,,,,spencsh01
126,Darren Bragg,2004-01-28,New York Yankees,ATL,34,-0.2,10,869,2360,328,608,42,251,55,294,.258,.343,.382,.726,,,,,,,,,,,,,braggda01
127,Mike Colangelo,2004-01-28,Florida Marlins,TOR,27,-0.8,4,,,,,,,,,,,,,,,,,,,,,,,,,colanmi01
128,Tyler Houston,2004-01-28,New York Yankees,PHI,33,1.8,8,700,1805,197,479,63,253,10,119,.265,.312,.423,.735,,,,,,,,,,,,,houstty01
129,Thomas Jacquez,2004-01-28,Baltimore Orioles,CHW,28,,3,,,,,,,,,,,,,,,,,,,,,,,,,jacquth01
130,Justin Kaye,2004-01-28,San Diego Padres,CHC,28,-0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,kayeju01
131,Jose Lima,2004-01-28,Los Angeles Dodgers,KCR,31,-0.5,10,163,236,17,28,0,8,0,6,.119,.140,.136,.276,71,77,5.13,1.361,276,175,5,1211.1,1361,200,288,795,limajo01
132,Steve Lomasney,2004-01-28,Cincinnati Reds,BAL,26,,4,,,,,,,,,,,,,,,,,,,,,,,,,lomasst01
133,Jim Parque,2004-01-28,Arizona Diamondbacks,TBD,29,-2.3,6,6,10,0,2,0,0,0,0,.200,.200,.200,.400,31,34,5.42,1.637,103,97,0,544.1,650,78,241,335,parquji01
134,Ruben Quevedo,2004-01-28,Baltimore Orioles,MIL,25,-1.4,4,64,98,5,15,0,5,0,2,.153,.170,.153,.323,14,30,6.15,1.652,66,58,0,326.1,364,70,175,237,queveru01
135,Ruben Mateo,2004-01-27,Pittsburgh Pirates,CIN,26,-1.7,5,244,750,93,193,18,75,10,41,.257,.309,.391,.700,,,,,,,,,,,,,mateoru01
136,Travis Chapman,2004-01-26,Kansas City Royals,PHI,26,-0.1,1,1,1,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,,,,chapmtr01
137,Karim Garcia,2004-01-26,New York Mets,NYY,28,1.1,9,403,1205,147,293,56,179,7,67,.243,.282,.432,.713,,,,,,,,,,,,,garcika01
138,Jason Jimenez,2004-01-26,Florida Marlins,DET,28,-0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,jimenja01
139,Sidney Ponson,2004-01-26,Baltimore Orioles,SFG,27,7.3,6,20,41,3,5,0,0,0,0,.122,.122,.171,.293,58,65,4.54,1.382,177,166,1,1097.1,1151,147,366,687,ponsosi01
140,Paul Rigdon,2004-01-26,Boston Red Sox,CLE,28,-0.2,3,,,,,,,,,,,,,,,,,,,,,,,,,rigdopa01
141,Oscar Salazar,2004-01-26,Cleveland Indians,KCR,26,-0.1,1,8,21,2,4,1,3,0,1,.190,.227,.381,.608,,,,,,,,,,,,,salazos01
142,Jed Hansen,2004-01-25,Kansas City Royals,KCR,31,,6,,,,,,,,,,,,,,,,,,,,,,,,,hanseje01
143,Jim Chamblee,2004-01-24,Cincinnati Reds,CIN,29,-0.1,1,2,2,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,,,,chambji01
144,Rey Ordóñez,2004-01-24,San Diego Padres,TBD,33,0.1,8,950,3054,289,757,11,282,28,189,.248,.291,.311,.602,,,,,,,,,,,,,ordonre01
145,Robert Person,2004-01-24,Chicago White Sox,BOS,34,0.7,9,142,214,13,25,4,16,0,10,.117,.159,.196,.356,51,42,4.64,1.394,206,135,9,897.1,813,129,438,773,persoro01
146,Scott Randall,2004-01-24,Cincinnati Reds,CIN,28,-0.5,1,15,4,0,1,0,0,0,0,.250,.250,.250,.500,2,5,6.51,1.627,15,2,0,27.2,34,1,11,25,randasc01
147,Rick Reed,2004-01-24,Pittsburgh Pirates,MIN,39,6.5,15,171,297,23,51,2,24,0,13,.172,.206,.222,.429,93,76,4.03,1.220,273,245,1,1545.2,1601,213,285,970,reedri01
148,Pasqual Coco,2004-01-23,Montreal Expos,MIL,26,-0.1,3,,,,,,,,,,,,,,,,,,,,,,,,,cocopa01
149,Jeremy Giambi,2004-01-23,Los Angeles Dodgers,BOS,29,3.1,6,510,1417,219,372,52,209,1,251,.263,.377,.430,.807,,,,,,,,,,,,,giambje01
150,Brian Powell,2004-01-23,Philadelphia Phillies,PHI,30,-0.2,5,12,13,2,2,0,0,0,1,.154,.214,.231,.445,6,16,6.14,1.586,42,32,0,180.1,212,40,74,96,powelbr01
151,Luther Hackman,2004-01-22,Cleveland Indians,SDP,29,-1.5,5,144,24,1,2,0,0,0,1,.083,.120,.083,.203,9,10,5.09,1.561,149,9,1,212.0,226,26,105,128,hackmlu01
152,Rick Helling,2004-01-22,Minnesota Twins,FLA,33,5.0,10,83,88,4,6,0,1,0,8,.068,.155,.080,.234,90,78,4.77,1.390,266,225,0,1442.1,1476,239,529,984,helliri01
153,Randy Knorr,2004-01-22,Montreal Expos,MON,35,-0.7,12,,,,,,,,,,,,,,,,,,,,,,,,,knorrra01
