Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
913,Chris Richard,29,COL,NL,4,3,1,24.0,9,8,1,0,1,1.000,0,10,-2,-100,,3.38,2.25,OF-1B,richach01
914,John Riedling,27,CIN,NL,55,8,0,101.0,24,11,12,1,1,.958,,,-2,-4,,2.05,0.42,P,riedljo01
915,Jerrod Riggan,29,CLE,AL,2,0,0,4.0,2,0,2,0,0,1.000,,,0,0,,4.50,1.00,P,riggaje01
916,Adam Riggs,30,ANA,AL,20,17,7,132.2,103,87,14,2,6,.981,1,6,-4,-36,,6.85,4.81,1B-OF-2B,riggsad01
917,Matt Riley,23,BAL,AL,2,2,0,10.0,1,1,0,0,0,1.000,,,0,0,,0.90,0.50,P,rileyma01
918,Juan Rincon,24,MIN,AL,58,0,0,85.2,25,15,10,0,0,1.000,,,-2,-5,,2.63,0.43,P,rincoju01
919,Ricardo Rincon,33,OAK,AL,64,0,0,55.1,11,2,9,0,0,1.000,,,2,7,,1.79,0.17,P,rincori01
920,Armando Rios,31,CHW,AL,32,23,9,201.2,53,51,1,1,0,.981,0,1,-6,-35,,2.32,1.63,OF,riosar01
921,David Riske,26,CLE,AL,68,0,0,74.2,7,2,5,0,2,1.000,,,-1,-3,,0.84,0.10,P,riskeda01
922,Todd Ritchie,31,MIL,NL,5,5,0,28.1,7,1,5,1,0,.857,,,-1,-7,,1.91,1.20,P,ritchto01
923,Luis Rivas,23,MIN,AL,134,131,112,1144.0,553,218,325,10,64,.982,-12,-12,-20,-21,,4.27,4.05,2B,rivaslu01
924,Carlos Rivera,25,PIT,NL,60,14,12,205.2,248,229,15,4,22,.984,-2,-9,-2,-12,,10.68,4.07,1B,riverca01
925,Juan Rivera,24,NYY,AL,56,43,41,418.0,95,90,3,2,0,.979,-1,-3,8,22,,2.00,1.66,OF,riverju01
926,Mariano Rivera,33,NYY,AL,64,0,0,70.2,21,4,15,2,0,.905,,,-1,-3,,2.42,0.30,P,riverma01
927,Mike Rivera,26,SDP,NL,19,16,10,140.0,144,135,7,2,0,.986,-4,-34,-1,-11,,9.13,7.10,C-1B,rivermi02
928,Ruben Rivera,29,SFG,NL,27,8,5,110.0,42,42,0,0,0,1.000,1,11,6,65,,3.44,1.56,OF,riverru01
929,Joe Roa,31,TOT,NL,28,4,0,51.1,13,4,9,0,2,1.000,,,0,0,,2.28,0.46,P,roajo01
930,Jason Roach,27,NYM,NL,2,2,0,9.0,3,0,3,0,0,1.000,,,0,0,,3.00,1.50,P,roachja01
931,Brian Roberts,25,BAL,AL,108,107,101,941.0,540,199,332,9,69,.983,3,4,11,14,,5.08,4.87,2B-SS,roberbr01
932,Dave Roberts,31,LAD,NL,105,98,91,870.1,211,202,4,5,1,.976,7,10,2,2,,2.13,1.96,OF,roberda07
933,Grant Roberts,25,NYM,NL,18,0,0,19.0,7,1,6,0,0,1.000,,,1,11,,3.32,0.39,P,robergr01
934,Willis Roberts,28,BAL,AL,26,0,0,39.1,8,4,4,0,0,1.000,,,-1,-5,,1.83,0.31,P,roberwi01
935,Jeriome Robertson,26,HOU,NL,32,31,0,160.2,50,11,35,4,2,.920,,,3,4,,2.58,1.44,P,roberje02
936,Nate Robertson,25,DET,AL,8,8,0,44.2,8,2,6,0,0,1.000,,,1,4,,1.61,1.00,P,roberna01
937,Kerry Robinson,29,STL,NL,88,29,18,381.1,93,93,0,0,0,1.000,1,4,-2,-6,,2.19,1.06,OF,robinke02
938,John Rocker,28,TBD,AL,2,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,rockejo01
939,Fernando Rodney,26,DET,AL,27,0,0,29.2,3,0,3,0,0,1.000,,,-3,-20,,0.91,0.11,P,rodnefe01
940,Alex Rodriguez,27,TEX,AL,158,158,136,1369.2,699,227,464,8,111,.989,8,7,8,7,,4.54,4.37,SS,rodrial01
941,Felix Rodriguez,30,SFG,NL,68,0,0,61.0,10,0,9,1,2,.900,,,2,7,,1.33,0.13,P,rodrife01
942,Francisco Rodríguez,21,ANA,AL,59,0,0,86.0,15,6,9,0,2,1.000,,,0,0,,1.57,0.25,P,rodrifr03
943,Ivan Rodriguez,31,FLA,NL,138,134,112,1132.1,970,915,47,8,9,.992,-2,-2,6,6,,7.65,6.97,C,rodriiv01
944,Ricardo Rodriguez,25,CLE,AL,15,15,0,81.2,24,7,15,2,0,.917,,,-2,-5,,2.42,1.47,P,rodriri03
945,Rich Rodriguez,40,ANA,AL,3,0,0,3.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P,rodriri02
946,Kenny Rogers,38,MIN,AL,33,31,0,195.0,58,20,36,2,4,.966,,,7,7,,2.58,1.70,P,rogerke01
947,Scott Rolen,28,STL,NL,153,152,133,1339.0,420,109,298,13,23,.969,-2,-1,-4,-3,,2.74,2.66,3B,rolensc01
948,Jimmy Rollins,24,PHI,NL,154,153,151,1357.2,680,203,463,14,92,.979,10,9,11,10,,4.41,4.32,SS,rolliji01
949,Damian Rolls,25,TBD,AL,103,96,81,865.1,280,138,135,7,16,.975,5,7,3,4,,2.84,2.44,3B-OF-2B,rollsda01
950,Jason Romano,24,LAD,NL,29,4,2,82.0,18,18,0,0,0,1.000,2,28,0,0,,1.98,0.62,OF-2B,romanja01
951,J.C. Romero,27,MIN,AL,73,0,0,63.0,22,8,12,2,1,.909,,,1,3,,2.86,0.27,P,romerj.01
952,Mandy Romero,35,COL,NL,2,2,2,17.0,16,13,2,1,0,.938,-1,-71,0,0,,7.94,7.50,C,romerma01
953,Matt Roney,23,DET,AL,45,11,0,100.2,20,7,11,2,0,.900,,,-1,-2,,1.61,0.40,P,roneyma01
954,Rodrigo Rosario,25,HOU,NL,2,2,0,8.0,2,0,2,0,0,1.000,,,0,0,,2.25,1.00,P,rosarro01
955,Cody Ross,22,DET,AL,6,6,4,49.0,17,15,0,2,0,.882,2,56,-2,-48,,2.76,2.50,OF,rossco01
956,David Ross,26,LAD,NL,38,35,34,314.0,289,259,26,4,2,.986,1,4,-1,-5,,8.17,7.50,C,rossda01
957,Aaron Rowand,25,CHW,AL,87,39,28,426.2,120,114,6,0,0,1.000,9,26,2,5,,2.53,1.38,OF,rowanaa01
958,Wilkin Ruan,24,LAD,NL,20,8,8,95.0,23,22,1,0,0,1.000,0,-4,4,50,,2.18,1.15,OF,ruanwi01
959,Kirk Rueter,32,SFG,NL,27,27,0,147.0,43,10,33,0,5,1.000,,,5,7,,2.63,1.59,P,rueteki01
960,Ryan Rupe,28,BOS,AL,4,1,0,10.0,4,3,1,0,0,1.000,,,0,0,,3.60,1.00,P,rupery01
961,Glendon Rusch,28,MIL,NL,32,19,1,123.1,19,3,16,0,1,1.000,,,3,5,,1.39,0.59,P,ruschgl01
962,B.J. Ryan,27,BAL,AL,76,0,0,50.1,10,3,6,1,2,.900,,,-2,-8,,1.61,0.12,P,ryanb.01
963,Mike Ryan,25,MIN,AL,16,11,6,107.1,35,33,2,0,1,1.000,0,2,-2,-22,,2.93,2.19,OF,ryanmi03
964,Kirk Saarloos,24,HOU,NL,36,4,0,49.1,10,2,6,2,1,.800,,,0,0,,1.46,0.22,P,saarlki01
965,CC Sabathia,22,CLE,AL,30,30,2,197.2,28,7,19,2,2,.929,,,2,2,,1.18,0.87,P,sabatc.01
966,Carl Sadler,26,CLE,AL,18,0,0,9.2,2,0,2,0,0,1.000,,,0,0,,1.86,0.11,P,sadleca01
967,Donnie Sadler,28,TEX,AL,74,35,18,369.1,117,66,47,4,6,.966,-1,-3,2,6,,2.75,1.35,OF-3B-SS-2B,sadledo01
968,Tim Salmon,34,ANA,AL,78,78,31,604.1,143,133,4,6,1,.958,-3,-6,-12,-23,,2.04,1.76,OF,salmoti01
969,Alex Sanchez,26,TOT,ZZ,135,128,118,1118.2,388,377,4,7,1,.982,-8,-8,-17,-18,,3.07,2.82,OF,sanchal03
970,Duaner Sanchez,23,PIT,NL,6,0,0,6.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,sanchdu01
971,Felix Sanchez,21,CHC,NL,3,0,0,1.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P,sanchfe01
972,Freddy Sanchez,25,BOS,AL,15,7,5,75.1,38,15,23,0,2,1.000,1,10,3,51,,4.54,2.38,3B-2B-SS,sanchfr01
973,Jesus Sanchez,28,COL,NL,9,0,0,8.0,2,0,2,0,0,1.000,,,1,25,,2.25,0.22,P,sanchje01
974,Rey Sanchez,35,TOT,MLB,100,90,83,797.2,406,150,248,8,64,.980,1,1,4,6,,4.49,3.98,SS-2B,sanchre01
975,Jared Sandberg,25,TBD,AL,51,42,30,358.1,123,42,76,5,4,.959,2,6,3,11,,2.96,2.27,3B-1B-SS,sandbja01
976,David Sanders,23,CHW,AL,20,0,0,22.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,sandeda01
977,Reggie Sanders,35,PIT,NL,120,112,89,978.0,232,222,6,4,2,.983,-5,-7,2,2,,2.10,1.90,OF,sandere02
978,Johan Santana,24,MIN,AL,45,18,0,158.1,17,3,11,3,1,.824,,,0,0,,0.80,0.31,P,santajo02
